# كتالوج MySQL جاهز للصق بين <<<CATALOG_START و >>>CATALOG_END في برومبت n8n
# مُولَّد من موديلات Django في مشروع Ktra — راجع اسم القاعدة: إن كان في .env مختلفاً عن smartktra_smart-ktra استبدل العمود الأول (find/replace).
# الفاصل: TAB بين الحقول — صف واحد = عمود واحد. يمكنك لصق الملف كاملاً بعد حذف كل الأسطر التي تبدأ بـ # (التعليقات فقط).
# جدول products: لا يوجد عمود CreatedAt ولا UpdatedAt في الكتالوج — لا تستخدمهما في ORDER/WHERE؛ للترتيب استخدم ProductID أو أعمدةً أخرى مذكورة لـ products فقط.

db_name	table_name	column_name	column_type	column_comment
smartktra_smart-ktra	tenants	TenantID	int	PK مستأجر
smartktra_smart-ktra	tenants	CompanyName	varchar(150)	اسم الشركة
smartktra_smart-ktra	tenants	SubscriptionPlan	varchar(50)	خطة الاشتراك
smartktra_smart-ktra	tenants	Status	varchar(50)	Active/Suspended/Trial
smartktra_smart-ktra	tenants	CreatedAt	datetime	تاريخ الإنشاء
smartktra_smart-ktra	tenants	DomainName	varchar(100)	نطاق فريد اختياري
smartktra_smart-ktra	currencies	CurrencyID	int	PK عملة
smartktra_smart-ktra	currencies	Code	varchar(3)	رمز ISO
smartktra_smart-ktra	currencies	Name	varchar(50)	اسم العملة
smartktra_smart-ktra	currencies	Symbol	varchar(5)	رمز العرض
smartktra_smart-ktra	currencies	IsBaseCurrency	tinyint(1)	عملة أساسية
smartktra_smart-ktra	partner_groups	GroupID	int	PK مجموعة شركاء
smartktra_smart-ktra	partner_groups	TenantID	int	FK → tenants
smartktra_smart-ktra	partner_groups	Name	varchar(100)	اسم المجموعة
smartktra_smart-ktra	partner_groups	Type	varchar(50)	Customer أو Supplier
smartktra_smart-ktra	partner_groups	AccountReceivableID	int	FK حساب ذمم مدينة للمجموعة
smartktra_smart-ktra	partner_groups	AccountPayableID	int	FK حساب ذمم دائنة للمجموعة
smartktra_smart-ktra	partners	PartnerID	int	PK مورد/عميل/وكيل
smartktra_smart-ktra	partners	TenantID	int	FK
smartktra_smart-ktra	partners	Name	varchar(150)	الاسم المعروض
smartktra_smart-ktra	partners	GroupID	int	FK → partner_groups
smartktra_smart-ktra	partners	LegalName	varchar(255)	الاسم القانوني
smartktra_smart-ktra	partners	StreetAddress	varchar(255)	عنوان
smartktra_smart-ktra	partners	City	varchar(100)	مدينة
smartktra_smart-ktra	partners	StateOrProvince	varchar(100)	ولاية
smartktra_smart-ktra	partners	PostalCode	varchar(20)	رمز بريدي
smartktra_smart-ktra	partners	Country	varchar(50)	دولة
smartktra_smart-ktra	partners	Type	varchar(50)	Customer/Supplier/FreightForwarder/CustomsBroker/LocalTransporter
smartktra_smart-ktra	partners	TaxNumber	varchar(50)	ضريبة
smartktra_smart-ktra	partners	Phone	varchar(20)	هاتف
smartktra_smart-ktra	partners	Email	varchar(100)	بريد
smartktra_smart-ktra	partners	CreditLimit	decimal(18,2)	حد ائتمان
smartktra_smart-ktra	partners	OpeningBalance	decimal(18,2)	رصيد افتتاحي
smartktra_smart-ktra	partners	OpeningBalanceDate	date	تاريخ الرصيد الافتتاحي
smartktra_smart-ktra	partners	CurrencyID	int	FK → currencies
smartktra_smart-ktra	partners	LinkedAccountID	int	FK → chartofaccounts حساب ذمم مربوط بالمورد
smartktra_smart-ktra	partners	ImagePath	varchar(512)	صورة
smartktra_smart-ktra	partners	CreatedAt	datetime	إنشاء
smartktra_smart-ktra	partner_bank_accounts	PartnerBankAccountID	int	PK
smartktra_smart-ktra	partner_bank_accounts	TenantID	int	FK
smartktra_smart-ktra	partner_bank_accounts	PartnerID	int	FK → partners
smartktra_smart-ktra	partner_bank_accounts	BankName	varchar(100)	بنك
smartktra_smart-ktra	partner_bank_accounts	AccountNumber	varchar(50)	رقم حساب
smartktra_smart-ktra	partner_bank_accounts	IBAN	varchar(50)	IBAN
smartktra_smart-ktra	partner_bank_accounts	SwiftCode	varchar(20)	SWIFT
smartktra_smart-ktra	partner_bank_accounts	BankAddress	varchar(255)	عنوان البنك
smartktra_smart-ktra	partner_bank_accounts	BeneficiaryName	varchar(150)	اسم المستفيد
smartktra_smart-ktra	partner_bank_accounts	CurrencyID	int	FK
smartktra_smart-ktra	partner_bank_accounts	IsActive	tinyint(1)	نشط
smartktra_smart-ktra	units_of_measure	UOMID	int	PK وحدة قياس
smartktra_smart-ktra	units_of_measure	Code	varchar(10)	رمز فريد
smartktra_smart-ktra	units_of_measure	Name_AR	varchar(50)	اسم عربي
smartktra_smart-ktra	units_of_measure	Name_EN	varchar(50)	اسم إنجليزي
smartktra_smart-ktra	units_of_measure	IsActive	tinyint(1)	نشط
smartktra_smart-ktra	product_categories	CategoryID	int	PK تصنيف
smartktra_smart-ktra	product_categories	TenantID	int	FK
smartktra_smart-ktra	product_categories	Name	varchar(100)	اسم التصنيف
smartktra_smart-ktra	product_categories	ParentID	int	FK تصنيف أب
smartktra_smart-ktra	products	ProductID	int	PK صنف
smartktra_smart-ktra	products	TenantID	int	FK
smartktra_smart-ktra	products	SKU	varchar(50)	رمز صنف فريد لكل مستأجر
smartktra_smart-ktra	products	Barcode	varchar(50)	باركود
smartktra_smart-ktra	products	Name_AR	varchar(200)	اسم عربي
smartktra_smart-ktra	products	Name_EN	varchar(200)	اسم إنجليزي
smartktra_smart-ktra	products	CategoryID	int	FK → product_categories
smartktra_smart-ktra	products	UOMID	int	FK → units_of_measure
smartktra_smart-ktra	products	UOM	varchar(20)	وحدة قديمة نصية
smartktra_smart-ktra	products	Weight_KG	decimal(12,4)	وزن
smartktra_smart-ktra	products	Volume_CBM	decimal(12,6)	حجم
smartktra_smart-ktra	products	HS_Code	varchar(20)	تعريفة
smartktra_smart-ktra	products	MinStockLevel	int	حد أدنى مخزون
smartktra_smart-ktra	products	IsSerialized	tinyint(1)	تسلسل
smartktra_smart-ktra	products	IsForSaleOnline	tinyint(1)	بيع أونلاين
smartktra_smart-ktra	products	OnlinePrice	decimal(18,2)	سعر أونلاين
smartktra_smart-ktra	products	OnlineDescription	longtext	وصف أونلاين
smartktra_smart-ktra	chartofaccounts	AccountID	int	PK حساب في الشجرة
smartktra_smart-ktra	chartofaccounts	TenantID	int	FK
smartktra_smart-ktra	chartofaccounts	Code	varchar(20)	كود الحساب
smartktra_smart-ktra	chartofaccounts	Name	varchar(100)	اسم الحساب
smartktra_smart-ktra	chartofaccounts	ParentID	int	FK أب في نفس الجدول
smartktra_smart-ktra	chartofaccounts	Type	varchar(20)	Asset/Liability/Equity/Revenue/Expense
smartktra_smart-ktra	chartofaccounts	IsActive	tinyint(1)	نشط
smartktra_smart-ktra	journal_headers	JournalID	int	PK رأس قيد يومية
smartktra_smart-ktra	journal_headers	TenantID	int	FK
smartktra_smart-ktra	journal_headers	TransactionDate	date	تاريخ القيد
smartktra_smart-ktra	journal_headers	ReferenceType	varchar(50)	نوع مرجع (مثل LOGISTICS_PAYMENT)
smartktra_smart-ktra	journal_headers	ReferenceID	int	معرف السجل المرتبط
